layer                                     name  gradient   parameters                shape         mu      sigma
+-------+-------------+---------+
| Index | Class       | AP      |
+-------+-------------+---------+
| 0     | aeroplane   | 0.61929 |
| 1     | bicycle     | 0.72091 |
| 2     | bird        | 0.50186 |
| 3     | boat        | 0.36682 |
| 4     | bottle      | 0.36634 |
| 5     | bus         | 0.62023 |
| 6     | car         | 0.69363 |
| 7     | cat         | 0.71142 |
| 8     | chair       | 0.43289 |
| 9     | cow         | 0.62896 |
| 10    | diningtable | 0.56805 |
| 11    | dog         | 0.63091 |
| 12    | horse       | 0.73076 |
| 13    | motorbike   | 0.70284 |
| 14    | person      | 0.70322 |
| 15    | pottedplant | 0.29549 |
| 16    | sheep       | 0.47112 |
| 17    | sofa        | 0.58773 |
| 18    | train       | 0.67914 |
| 19    | tvmonitor   | 0.64811 |
+-------+-------------+---------+
---- mAP 0.58399 ----
Train epoch[49]: [49/518], total loss: 2.9199624061584473 lr:0.0087955
Train epoch[49]: [99/518], total loss: 2.7123796939849854 lr:0.0087955
Train epoch[49]: [149/518], total loss: 2.834228992462158 lr:0.0087955
Train epoch[49]: [199/518], total loss: 2.828730583190918 lr:0.0087955
Train epoch[49]: [249/518], total loss: 2.9054503440856934 lr:0.0087955
Train epoch[49]: [299/518], total loss: 2.6750500202178955 lr:0.0087955
Train epoch[49]: [349/518], total loss: 2.774716377258301 lr:0.0087955
Train epoch[49]: [399/518], total loss: 3.0059309005737305 lr:0.0087955
Train epoch[49]: [449/518], total loss: 2.6329853534698486 lr:0.0087955
Train epoch[49]: [499/518], total loss: 2.768825054168701 lr:0.0087955
Train epoch[50]: [49/518], total loss: 3.1125431060791016 lr:0.0087426
Train epoch[50]: [99/518], total loss: 3.011775493621826 lr:0.0087426
Train epoch[50]: [149/518], total loss: 2.6839728355407715 lr:0.0087426
Train epoch[50]: [199/518], total loss: 2.8116455078125 lr:0.0087426
Train epoch[50]: [249/518], total loss: 2.8707079887390137 lr:0.0087426
Train epoch[50]: [299/518], total loss: 2.948160171508789 lr:0.0087426
Train epoch[50]: [349/518], total loss: 2.8971619606018066 lr:0.0087426
Train epoch[50]: [399/518], total loss: 2.794084310531616 lr:0.0087426
Train epoch[50]: [449/518], total loss: 2.822927951812744 lr:0.0087426
Train epoch[50]: [499/518], total loss: 2.5834298133850098 lr:0.0087426
Train epoch[51]: [49/518], total loss: 2.677619457244873 lr:0.0086887
Train epoch[51]: [99/518], total loss: 2.7350311279296875 lr:0.0086887
Train epoch[51]: [149/518], total loss: 2.681765556335449 lr:0.0086887
Train epoch[51]: [199/518], total loss: 2.919813632965088 lr:0.0086887
Train epoch[51]: [249/518], total loss: 2.746976852416992 lr:0.0086887
Train epoch[51]: [299/518], total loss: 2.5971386432647705 lr:0.0086887
Train epoch[51]: [349/518], total loss: 2.7747397422790527 lr:0.0086887
Train epoch[51]: [399/518], total loss: 2.5248236656188965 lr:0.0086887
Train epoch[51]: [449/518], total loss: 2.7923569679260254 lr:0.0086887
Train epoch[51]: [499/518], total loss: 2.86411190032959 lr:0.0086887
