layer                                     name  gradient   parameters                shape         mu      sigma
  114           backbone.layer3.4.conv2.weight      True       589824     [256, 256, 3, 3]  -0.000941     0.0149
  115             backbone.layer3.4.bn2.weight      True          256                [256]      0.178      0.028
  116               backbone.layer3.4.bn2.bias      True          256                [256]    -0.0883     0.0653
  117           backbone.layer3.4.conv3.weight      True       262144    [1024, 256, 1, 1]    -0.0016     0.0182
  118             backbone.layer3.4.bn3.weight      True         1024               [1024]     0.0911      0.049
  119               backbone.layer3.4.bn3.bias      True         1024               [1024]    -0.0833     0.0551
  120           backbone.layer3.5.conv1.weight      True       262144    [256, 1024, 1, 1]  -0.000963     0.0197
  121             backbone.layer3.5.bn1.weight      True          256                [256]      0.184     0.0319
  122               backbone.layer3.5.bn1.bias      True          256                [256]     -0.108     0.0724
  123           backbone.layer3.5.conv2.weight      True       589824     [256, 256, 3, 3]  -0.000899     0.0152
  124             backbone.layer3.5.bn2.weight      True          256                [256]      0.193     0.0384
  125               backbone.layer3.5.bn2.bias      True          256                [256]    -0.0891     0.0643
  126           backbone.layer3.5.conv3.weight      True       262144    [1024, 256, 1, 1]   -0.00231     0.0192
  127             backbone.layer3.5.bn3.weight      True         1024               [1024]      0.106     0.0492
  128               backbone.layer3.5.bn3.bias      True         1024               [1024]     -0.111     0.0677
  129           backbone.layer4.0.conv1.weight      True       524288    [512, 1024, 1, 1]   -0.00136     0.0238
  130             backbone.layer4.0.bn1.weight      True          512                [512]      0.221     0.0241
  131               backbone.layer4.0.bn1.bias      True          512                [512]     -0.177      0.061
  132           backbone.layer4.0.conv2.weight      True   2.3593e+06     [512, 512, 3, 3]  -0.000513     0.0126
  133             backbone.layer4.0.bn2.weight      True          512                [512]      0.196     0.0213
  134               backbone.layer4.0.bn2.bias      True          512                [512]    -0.0703     0.0431
  135           backbone.layer4.0.conv3.weight      True  1.04858e+06    [2048, 512, 1, 1]  -0.000611     0.0153
  136             backbone.layer4.0.bn3.weight      True         2048               [2048]      0.362     0.0661
  137               backbone.layer4.0.bn3.bias      True         2048               [2048]    -0.0539     0.0277
  138    backbone.layer4.0.downsample.0.weight      True  2.09715e+06   [2048, 1024, 1, 1]  -7.12e-05    0.00994
  139    backbone.layer4.0.downsample.1.weight      True         2048               [2048]      0.268     0.0711
  140      backbone.layer4.0.downsample.1.bias      True         2048               [2048]    -0.0539     0.0277
  141           backbone.layer4.1.conv1.weight      True  1.04858e+06    [512, 2048, 1, 1]  -0.000923     0.0147
  142             backbone.layer4.1.bn1.weight      True          512                [512]      0.194      0.022
  143               backbone.layer4.1.bn1.bias      True          512                [512]     -0.124     0.0522
  144           backbone.layer4.1.conv2.weight      True   2.3593e+06     [512, 512, 3, 3]  -0.000839     0.0123
  145             backbone.layer4.1.bn2.weight      True          512                [512]       0.21      0.019
  146               backbone.layer4.1.bn2.bias      True          512                [512]      -0.12      0.045
  147           backbone.layer4.1.conv3.weight      True  1.04858e+06    [2048, 512, 1, 1]  -0.000114      0.015
  148             backbone.layer4.1.bn3.weight      True         2048               [2048]      0.358      0.082
  149               backbone.layer4.1.bn3.bias      True         2048               [2048]     -0.068     0.0294
  150           backbone.layer4.2.conv1.weight      True  1.04858e+06    [512, 2048, 1, 1]    -0.0005     0.0181
  151             backbone.layer4.2.bn1.weight      True          512                [512]      0.217     0.0289
  152               backbone.layer4.2.bn1.bias      True          512                [512]     -0.172     0.0627
  153           backbone.layer4.2.conv2.weight      True   2.3593e+06     [512, 512, 3, 3]  -0.000664      0.011
  154             backbone.layer4.2.bn2.weight      True          512                [512]      0.212      0.024
  155               backbone.layer4.2.bn2.bias      True          512                [512]    -0.0877     0.0475
  156           backbone.layer4.2.conv3.weight      True  1.04858e+06    [2048, 512, 1, 1]  -3.38e-05     0.0142
  157             backbone.layer4.2.bn3.weight      True         2048               [2048]      0.716      0.152
  158               backbone.layer4.2.bn3.bias      True         2048               [2048]     0.0246     0.0256
  159           decoder.deconv_layers.0.weight      True  8.38861e+06    [2048, 256, 4, 4]  -2.59e-06    0.00902
  160           decoder.deconv_layers.1.weight      True          256                [256]          1          0
  161             decoder.deconv_layers.1.bias      True          256                [256]          0          0
  162           decoder.deconv_layers.3.weight      True       524288     [256, 128, 4, 4]  -2.82e-05     0.0128
  163           decoder.deconv_layers.4.weight      True          128                [128]          1          0
  164             decoder.deconv_layers.4.bias      True          128                [128]          0          0
  165           decoder.deconv_layers.6.weight      True       131072      [128, 64, 4, 4]   4.51e-05      0.018
  166           decoder.deconv_layers.7.weight      True           64                 [64]          1          0
  167             decoder.deconv_layers.7.bias      True           64                 [64]          0          0
  168                   head.cls_head.0.weight      True        36864       [64, 64, 3, 3]   -5.4e-06     0.0241
  169                   head.cls_head.1.weight      True           64                 [64]          1          0
  170                     head.cls_head.1.bias      True           64                 [64]          0          0
  171                   head.cls_head.3.weight      True         1280       [20, 64, 1, 1]          0          0
  172                     head.cls_head.3.bias      True           20                 [20]      -2.19          0
  173                    head.wh_head.0.weight      True        36864       [64, 64, 3, 3]   -0.00023      0.024
  174                    head.wh_head.1.weight      True           64                 [64]          1          0
  175                      head.wh_head.1.bias      True           64                 [64]          0          0
  176                    head.wh_head.3.weight      True          128        [2, 64, 1, 1]   -0.00111     0.0705
  177                      head.wh_head.3.bias      True            2                  [2]    -0.0661     0.0732
  178                   head.reg_head.0.weight      True        36864       [64, 64, 3, 3]   1.59e-05     0.0241
  179                   head.reg_head.1.weight      True           64                 [64]          1          0
  180                     head.reg_head.1.bias      True           64                 [64]          0          0
  181                   head.reg_head.3.weight      True          128        [2, 64, 1, 1]  -0.000304     0.0725
  182                     head.reg_head.3.bias      True            2                  [2]    -0.0778     0.0612
summary: 177 layers, 32665432 parameters, 32665432 gradients, 36.327391232GFLOPs
Train epoch[0]: [49/518], total loss: 13.364372253417969 lr:0.0001
Train epoch[0]: [99/518], total loss: 11.894259452819824 lr:0.0001
Train epoch[0]: [149/518], total loss: 11.749497413635254 lr:0.0001
Train epoch[0]: [199/518], total loss: 10.520739555358887 lr:0.0001
Train epoch[0]: [249/518], total loss: 12.790140151977539 lr:0.0001
Train epoch[0]: [299/518], total loss: 10.83749771118164 lr:0.0001
Train epoch[0]: [349/518], total loss: 10.48969554901123 lr:0.0001
Train epoch[0]: [399/518], total loss: 11.828983306884766 lr:0.0001
Train epoch[0]: [449/518], total loss: 10.032987594604492 lr:0.0001
Train epoch[0]: [499/518], total loss: 11.362953186035156 lr:0.0001
Validating:   0%|          | 0/4952 [00:00<?, ?it/s]/home/fxd/miniconda3/lib/python3.9/site-packages/torch/functional.py:478: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  /opt/conda/conda-bld/pytorch_1659484806139/work/aten/src/ATen/native/TensorShape.cpp:2894.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
